Time, Audience01, Audience02, Audience03, Audience04, Audience05, Audience06, Audience07, Audience08, Audience09, Audience10, Audience11, Audience12, Audience13, Audience14, Audience15, Audience16 
8.0, 0.00125, 0.01447, -0.00244, 0, -0.00048, 0.0072, 0.00713, 0.01261, 0.00408, 0.0042, -0.0098, -0.00021, 0.00148, -0.00242, -0.00028, 0
8.1, 0.00129, 0.01358, -0.00213, 0, 0.00204, 0.01133, 0.00925, 0.012, 0.00438, 0.00431, -0.01037, -0.00023, 0.00166, -0.00199, -0.00026, 0
8.2, 0.00134, 0.01033, -0.00142, 0, 0.00322, 0.01638, 0.0122, 0.01112, 0.00412, 0.00503, -0.00962, -0.00033, 0.00247, -0.00129, -0.00023, 0
8.3, 0.00108, 0.00662, -0.00086, 0, 0.00426, 0.02208, 0.01445, 0.01007, 0.0039, 0.00514, -0.00423, -0.00035, 0.00278, -0.00116, -0.00025, 0
8.4, 0.00096, 0.00449, -0.00033, 0, 0.00521, 0.02862, 0.01294, 0.00965, 0.00353, 0.00384, -0.00373, -0.00041, 0.00271, -0.00091, -0.00025, 0
8.5, 0.001, 0.00342, 8e-05, 0, 0.00606, 0.03485, 0.01045, 0.00943, 0.00328, 0.00307, -0.00318, -0.00038, 0.00255, -0.00069, -0.00025, 0
8.6, 0.00084, 0.00288, 0.00064, 0, 0.00594, 0.03656, 0.00833, 0.00898, 0.00279, 0.00171, -0.00322, -0.00051, 0.00249, -0.0005, -0.00026, 0
8.7, 0.00077, 0.00232, 0.00113, 0, 0.00361, 0.03479, 0.01045, 0.00872, 0.00142, 0.00101, -0.00439, -0.00052, 0.00229, -9e-05, -0.00024, 0
8.8, 0.00077, 0.00174, 0.00167, 0, 0.00107, 0.03193, 0.01132, 0.00874, -0.00057, 9e-05, -0.0061, -0.00054, 0.00192, -0.00012, -0.00023, 0
8.9, 0.00084, 0.0013, 0.00215, 0, -0.00242, 0.02717, 0.01415, 0.00848, -0.00221, -0.00047, -0.00682, -0.00057, 0.00174, -0.00053, -0.00028, 0
9.0, 0.00073, 0.00186, 0.00239, 0, -0.00311, 0.02511, 0.0156, 0.00755, -0.00313, -0.00223, -0.00677, -0.00063, 0.00133, -0.00056, -0.00032, 0
9.1, -0.00016, 0.00281, 0.00219, 0, -0.00338, 0.02799, 0.01982, 0.00704, -0.00379, -0.00284, -0.00572, -0.00065, 0.00043, -0.00022, -0.00025, 0
9.2, -0.00059, 0.00321, 0.00237, 0, -0.00292, 0.02959, 0.03865, 0.00649, -0.00401, -0.00422, -0.00497, -0.00065, -0.00021, -0.00014, -0.0003, 0
9.3, -0.0006, 0.00367, 0.00279, 0, -0.0023, 0.02961, 0.0577, 0.00675, -0.00361, -0.00625, -0.00456, -0.00062, -0.00073, 0.00022, -0.0003, 0
9.4, -0.00054, 0.00391, 0.00341, 0, -0.00178, 0.0275, 0.05717, 0.00624, -0.00246, -0.00635, -0.00438, -0.00071, -0.00151, 0.00071, -0.0002, 0
9.5, -0.00029, 0.00373, 0.00411, 0, -0.00281, 0.02591, 0.04176, 0.0061, -0.00072, -0.00903, -0.00386, -0.00067, -0.00266, 0.00044, -0.00019, 0
9.6, -6e-05, 0.00315, 0.00476, 0, -0.00195, 0.02263, 0.02655, 0.00549, 0.00061, -0.01114, -0.00316, -0.00064, -0.0029, 0.00043, -0.00026, 0
